
[ONLINE] 192.168.0.1 voltou em 06/08/2025 06:29:05 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 06/08/2025 07:08:43 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 06/08/2025 07:08:48 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 11/08/2025 16:15:31 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 11/08/2025 16:15:43 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 11/08/2025 16:15:51 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 11/08/2025 16:15:54 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 13/08/2025 07:20:25 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 13/08/2025 07:20:36 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 13/08/2025 07:20:42 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 13/08/2025 07:20:45 | de = PORTARIA
[OFFLINE] 192.168.0.45 caiu em 13/08/2025 07:46:57 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 13/08/2025 07:47:13 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 13/08/2025 07:47:35 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 13/08/2025 07:48:07 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.1 voltou em 14/08/2025 05:59:12 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 16/08/2025 05:12:51 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 16/08/2025 05:13:09 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 16/08/2025 05:13:18 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 16/08/2025 05:13:36 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 16/08/2025 05:13:42 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 16/08/2025 05:13:45 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 16/08/2025 05:13:51 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 16/08/2025 05:13:53 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 16/08/2025 05:14:38 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 16/08/2025 05:14:57 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 16/08/2025 05:15:10 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 16/08/2025 05:15:12 | de = PORTARIA
[OFFLINE] 192.168.0.45 caiu em 16/08/2025 05:16:36 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 16/08/2025 05:16:51 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 16/08/2025 05:17:13 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 16/08/2025 05:17:35 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 17/08/2025 17:04:04 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 17/08/2025 17:04:28 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 17/08/2025 17:04:46 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 17/08/2025 17:05:08 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 17/08/2025 17:05:14 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 17/08/2025 17:05:16 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 17/08/2025 17:44:27 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 17/08/2025 17:44:31 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 17/08/2025 17:58:34 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 17/08/2025 17:58:41 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 19/08/2025 10:37:46 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.1 voltou em 19/08/2025 10:37:48 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 19/08/2025 17:17:56 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 19/08/2025 17:18:53 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.45 caiu em 23/08/2025 09:11:49 | de = SRV-BOTANICO02
